tmmx (K),rmin (%),vs (m/s),vpd (kPa),pr (mm),pet (mm),erc (-),fm100 (%),fm1000 (%),th (Degrees clockwise from north),Drought (mm),Drought_30days,Drought_90days,month,cumsum,days_since_rain,santa_ana_flag,slope,aspect,label,fire_name,lat,lon,date,ndvi
291.7,6.2,5.4,1.5,0.0,4.8,88.0,5.3,6.6,23.0,-4.8,-70.00000023841858,-226.29999899864197,1,4,1,False,0.31220676621330135,228.61234582234883,1,EATON,34.20078476275709,-118.09260810469993,2025-01-08,0.5334996327086747
304.3,14.0,3.7,2.45,0.0,7.6,95.0,4.4,5.0,230.0,-7.6,-231.7999987602234,-687.0000009536743,8,2,105,False,0.04143232182817422,253.083982371101,1,KING,34.71241940915923,-118.79125750179475,2025-08-14,0.27401315846649144
301.9,16.6,3.2,2.18,0.0,6.8,90.0,5.1,5.7,239.0,-6.8,-214.7999997138977,-632.700001001358,8,4,89,False,0.1390007560882435,299.71639909875927,1,HAWK,34.54192741744999,-118.22187964984782,2025-08-14,0.27357095831440925
297.7,26.3,2.9,1.15,0.0,3.8,53.0,10.9,12.1,147.0,-3.8,-112.69999933242798,-474.8999991416931,10,2,24,False,0.04604449496216264,261.14339659950235,1,HAROLD,34.30633123147769,-118.61561274739101,2025-10-12,0.4254413457360666
299.6,12.9,3.3,1.99,0.0,7.1,76.0,6.2,8.5,262.0,-7.1,-196.5,-348.7000027894974,6,15,62,False,0.01988553821398747,305.3653606225714,1,POST,34.72640556701045,-118.83415805217032,2024-06-15,0.328103469520744
293.3,24.4,1.5,0.99,0.0,1.8,63.0,8.7,10.1,20.0,-1.8,-58.4000004529953,-259.2000000476837,12,2,13,False,0.17970348028950026,343.5457655077837,1,FRANKLIN,34.05158281637538,-118.69778079449596,2024-12-09,0.5038612084909627
304.4,14.9,4.5,2.21,0.0,8.3,72.0,7.7,8.8,222.0,-8.3,-219.80000352859497,-382.60000360012054,6,18,31,False,0.007731295694478146,6.691679612742388,1,DANNY,34.78681988568304,-118.35055798971399,2023-06-04,0.2864916737417815
310.3,23.3,3.4,2.62,0.0,8.1,62.0,8.6,10.7,138.0,-8.1,-210.60000133514404,-457.1000015735626,7,7,82,False,0.05892101760181678,105.57742666339094,1,VICTOR,34.351484653300254,-118.51106399437644,2023-07-25,0.43357892658267827
312.4,11.0,1.8,3.7,0.0,6.3,75.0,8.2,8.2,230.0,-6.3,-201.59999990463257,-620.899998664856,8,0,120,False,0.011221923454936819,316.96980417625144,1,ROUTE,34.54538795011939,-118.64398283028842,2022-08-31,0.19166180349879552
304.3,18.2,3.5,2.4,0.0,7.3,89.0,6.0,5.5,236.0,-7.3,-247.50000190734863,-676.2000007629395,8,1,111,False,0.10444868889775634,73.21753341361489,1,SAM,34.76591455519796,-118.74168349108531,2022-08-10,0.24499370902772294
309.0,18.6,3.3,2.72,0.0,7.5,75.0,7.5,8.2,169.0,-7.5,-215.99999904632568,-625.8999996185303,8,1,118,False,0.05482104195068708,167.66452222539607,1,QUAIL,34.485407454694624,-118.60295810005408,2022-08-17,0.23238554135976774
308.2,23.5,2.3,2.27,0.0,5.2,49.0,13.0,12.8,183.0,-5.2,-162.90000009536743,-568.0999994277954,9,1,15,False,0.0457822337602695,38.30559740724359,1,LOBO,34.154583275246566,-118.65762980238073,2022-09-24,0.3826054149058017
304.1,19.6,2.0,2.13,0.0,6.2,83.0,7.5,6.0,263.0,-6.2,-232.00000047683716,-619.9999990463257,8,1,107,False,0.045578026803356785,273.4485362053108,1,HUGHES,34.7640010614209,-118.79169420431448,2022-08-06,0.21669074717636833
307.1,14.3,5.5,3.15,0.0,10.1,91.0,4.6,6.0,211.0,-10.1,-245.2000012397766,-626.6000003814697,6,5,7,False,0.0253730512615418,83.81217778586372,1,BARREL,34.56135838135113,-118.1391498402622,2022-06-29,0.2036002132743537
297.3,8.2,2.6,1.68,0.0,3.9,89.0,5.2,6.4,231.0,-3.9,-128.10000014305115,-479.59999895095825,10,3,39,False,0.060343325133588734,251.4468229684419,1,PYRAMID,34.802942358621195,-118.8579792608233,2022-10-21,0.2670997985583096
305.4,27.7,2.4,1.96,0.0,6.1,72.0,8.0,8.2,226.0,-6.1,-192.79999923706055,-566.9999995231628,8,4,57,False,0.1302920678490764,215.02271919135896,1,RIDGE,34.16242693581086,-117.89559634571873,2022-08-18,0.34910298684366464
301.6,8.7,3.6,2.26,0.0,5.3,75.0,5.1,9.5,7.0,-5.3,-79.50000059604645,-34.00000321865082,2,13,24,False,0.042472902438317646,134.71828655147266,1,SYCAMORE,34.00304245997153,-118.04100538306679,2022-02-10,0.46267778545756144
304.8,15.4,4.1,2.35,0.0,7.2,59.0,10.3,11.2,51.0,-7.2,-110.49999916553497,-326.19999980926514,4,16,9,True,0.05992139889359455,301.84688974342953,1,CANYON,34.27785479936269,-118.61250985355548,2022-04-06,0.455052057580664
304.2,27.4,2.4,1.67,0.0,6.4,52.0,11.9,12.1,226.0,-6.4,-180.7999987602234,-465.5999984741211,7,4,18,False,0.05151264575700066,320.33141709733223,1,CUT OFF,33.97411259912022,-117.84953988705608,2022-07-10,0.3309984220400907
309.7,12.9,4.8,3.73,0.0,9.5,94.0,4.9,5.2,211.0,-9.5,-254.8000020980835,-751.5000014305115,8,3,56,False,0.04800385241985792,57.62127329652862,1,TIERRA,34.556597986522775,-118.14084800739927,2022-08-17,0.1975879797820249
